country_simple,year,month,year_month,total_deaths,num_events,avg_casualties_per_event
Afghanistan,1992,1,1992-01,2,1,2.0
Afghanistan,1992,2,1992-02,35,2,17.5
Afghanistan,1992,3,1992-03,5,3,1.6666666666666667
Afghanistan,1992,4,1992-04,799,10,79.9
Afghanistan,1992,5,1992-05,99,9,11.0
Afghanistan,1992,6,1992-06,182,10,18.2
Afghanistan,1992,7,1992-07,161,4,40.25
Afghanistan,1992,8,1992-08,2694,21,128.28571428571428
Afghanistan,1992,9,1992-09,68,9,7.555555555555555
Afghanistan,1992,10,1992-10,150,1,150.0
Afghanistan,1992,12,1992-12,190,6,31.666666666666668
Afghanistan,1993,1,1993-01,1180,20,59.0
Afghanistan,1993,2,1993-02,557,22,25.318181818181817
Afghanistan,1993,3,1993-03,30,4,7.5
Afghanistan,1993,4,1993-04,37,3,12.333333333333334
Afghanistan,1993,5,1993-05,1034,16,64.625
Afghanistan,1993,6,1993-06,51,9,5.666666666666667
Afghanistan,1993,7,1993-07,372,9,41.333333333333336
Afghanistan,1993,8,1993-08,272,7,38.857142857142854
Afghanistan,1993,9,1993-09,75,5,15.0
Afghanistan,1993,10,1993-10,168,6,28.0
Afghanistan,1993,11,1993-11,306,8,38.25
Afghanistan,1993,12,1993-12,23,6,3.8333333333333335
Afghanistan,1994,1,1994-01,6266,35,179.02857142857144
Afghanistan,1994,2,1994-02,260,18,14.444444444444445
Afghanistan,1994,3,1994-03,226,18,12.555555555555555
Afghanistan,1994,4,1994-04,481,24,20.041666666666668
Afghanistan,1994,5,1994-05,148,18,8.222222222222221
Afghanistan,1994,6,1994-06,393,28,14.035714285714286
Afghanistan,1994,7,1994-07,187,20,9.35
Afghanistan,1994,8,1994-08,276,25,11.04
Afghanistan,1994,9,1994-09,483,32,15.09375
Afghanistan,1994,10,1994-10,215,15,14.333333333333334
Afghanistan,1994,11,1994-11,105,9,11.666666666666666
Afghanistan,1994,12,1994-12,16,2,8.0
Afghanistan,1995,1,1995-01,294,14,21.0
Afghanistan,1995,2,1995-02,329,23,14.304347826086957
Afghanistan,1995,3,1995-03,756,21,36.0
Afghanistan,1995,4,1995-04,1027,9,114.11111111111111
Afghanistan,1995,5,1995-05,1044,16,65.25
Afghanistan,1995,6,1995-06,321,33,9.727272727272727
Afghanistan,1995,7,1995-07,239,13,18.384615384615383
Afghanistan,1995,8,1995-08,280,21,13.333333333333334
Afghanistan,1995,9,1995-09,129,10,12.9
Afghanistan,1995,10,1995-10,645,18,35.833333333333336
Afghanistan,1995,11,1995-11,406,22,18.454545454545453
Afghanistan,1995,12,1995-12,148,19,7.7894736842105265
Afghanistan,1996,1,1996-01,109,20,5.45
Afghanistan,1996,2,1996-02,431,23,18.73913043478261
Afghanistan,1996,3,1996-03,185,18,10.277777777777779
Afghanistan,1996,4,1996-04,390,24,16.25
Afghanistan,1996,5,1996-05,233,16,14.5625
Afghanistan,1996,6,1996-06,197,17,11.588235294117647
Afghanistan,1996,7,1996-07,151,21,7.190476190476191
Afghanistan,1996,8,1996-08,88,12,7.333333333333333
Afghanistan,1996,9,1996-09,554,25,22.16
Afghanistan,1996,10,1996-10,514,27,19.037037037037038
Afghanistan,1996,11,1996-11,649,22,29.5
Afghanistan,1996,12,1996-12,94,9,10.444444444444445
Bosnia,1992,4,1992-04,206,55,3.7454545454545456
Bosnia,1992,5,1992-05,7146,562,12.715302491103202
Bosnia,1992,6,1992-06,4715,648,7.276234567901234
Bosnia,1992,7,1992-07,4353,566,7.690812720848056
Bosnia,1992,8,1992-08,2542,510,4.984313725490196
Bosnia,1992,9,1992-09,2091,431,4.851508120649652
Bosnia,1992,10,1992-10,1660,386,4.300518134715026
Bosnia,1992,11,1992-11,1270,327,3.8837920489296636
Bosnia,1992,12,1992-12,1188,284,4.183098591549296
Bosnia,1993,1,1993-01,1102,233,4.7296137339055795
Bosnia,1993,2,1993-02,669,144,4.645833333333333
Bosnia,1993,3,1993-03,401,120,3.341666666666667
Bosnia,1993,4,1993-04,1572,212,7.415094339622642
Bosnia,1993,5,1993-05,1248,233,5.356223175965665
