year,Yemen_total_deaths,Myanmar_total_deaths,Yemen_num_events,Myanmar_num_events,Yemen_avg_casualties_per_event,Myanmar_avg_casualties_per_event
2011,1430,811,219,265,6.529680365296803,3.060377358490566
2012,2461,971,253,77,9.727272727272727,12.61038961038961
2013,578,358,126,86,4.587301587301587,4.162790697674419
2014,2364,256,281,35,8.412811387900355,7.314285714285714
2015,8125,705,605,198,13.429752066115702,3.5606060606060606
2016,4027,183,343,57,11.740524781341108,3.210526315789474
2017,3620,2395,397,88,9.1183879093199,27.21590909090909
2018,4996,122,387,71,12.909560723514211,1.7183098591549295
2019,2959,587,304,148,9.733552631578947,3.9662162162162162
2020,6754,207,657,77,10.280060882800608,2.688311688311688
2021,23463,1781,768,857,30.55078125,2.0781796966161026
2022,3220,2761,455,1549,7.076923076923077,1.7824402840542286
2023,931,3065,319,2085,2.9184952978056424,1.4700239808153477
2024,990,2896,184,1096,5.380434782608695,2.6423357664233578
