year,num_events,total_casualties,avg_casualties_per_event,region
2001,263,5553,21.11406844106464,Afghanistan
2002,94,1157,12.308510638297872,Afghanistan
2003,186,944,5.075268817204301,Afghanistan
2004,241,817,3.3900414937759336,Afghanistan
2005,430,1711,3.9790697674418603,Afghanistan
2006,848,4982,5.875,Afghanistan
2007,1044,7037,6.740421455938697,Afghanistan
2008,1115,5661,5.07713004484305,Afghanistan
2009,1514,6499,4.292602377807134,Afghanistan
2010,1806,7151,3.959579180509413,Afghanistan
2011,2197,7563,3.4424214838416023,Afghanistan
2012,2301,7783,3.3824424163407216,Afghanistan
2013,1926,8131,4.221703011422638,Afghanistan
2014,2119,12549,5.922133081642284,Afghanistan
2015,2266,18018,7.951456310679611,Afghanistan
2016,2428,19025,7.835667215815486,Afghanistan
2001,29,685,23.620689655172413,Kivu_Conflicts
2002,41,925,22.5609756097561,Kivu_Conflicts
2003,17,211,12.411764705882353,Kivu_Conflicts
2004,18,278,15.444444444444445,Kivu_Conflicts
2005,18,201,11.166666666666666,Kivu_Conflicts
2006,53,253,4.773584905660377,Kivu_Conflicts
2007,89,719,8.07865168539326,Kivu_Conflicts
2008,49,776,15.83673469387755,Kivu_Conflicts
2009,430,3777,8.783720930232558,Kivu_Conflicts
2010,42,676,16.095238095238095,Kivu_Conflicts
2011,68,352,5.176470588235294,Kivu_Conflicts
2012,131,1717,13.106870229007633,Kivu_Conflicts
2013,109,1764,16.18348623853211,Kivu_Conflicts
2014,77,1437,18.662337662337663,Kivu_Conflicts
2015,83,549,6.614457831325301,Kivu_Conflicts
2016,97,746,7.690721649484536,Kivu_Conflicts
