Year_Month,Year,Month,Liberia_Monthly_Deaths,Liberia_Monthly_Events,Sierra_Leone_Monthly_Deaths,Sierra_Leone_Monthly_Events,Liberia_Casualties_Per_Event_Monthly,Sierra_Leone_Casualties_Per_Event_Monthly,Total_Deaths_Both_Monthly,Total_Events_Both_Monthly
1989-01,1989,1,0,0,0,0,0.0,0.0,0,0
1989-02,1989,2,0,0,0,0,0.0,0.0,0,0
1989-03,1989,3,0,0,0,0,0.0,0.0,0,0
1989-04,1989,4,0,0,0,0,0.0,0.0,0,0
1989-05,1989,5,0,0,0,0,0.0,0.0,0,0
1989-06,1989,6,0,0,0,0,0.0,0.0,0,0
1989-07,1989,7,0,0,0,0,0.0,0.0,0,0
1989-08,1989,8,0,0,0,0,0.0,0.0,0,0
1989-09,1989,9,0,0,0,0,0.0,0.0,0,0
1989-10,1989,10,0,0,0,0,0.0,0.0,0,0
1989-11,1989,11,0,0,0,0,0.0,0.0,0,0
1989-12,1989,12,45,6,0,0,7.5,0.0,45,6
1990-01,1990,1,408,36,0,0,11.333333333333334,0.0,408,36
1990-02,1990,2,12,2,0,0,6.0,0.0,12,2
1990-03,1990,3,49,5,0,0,9.8,0.0,49,5
1990-04,1990,4,105,3,0,0,35.0,0.0,105,3
1990-05,1990,5,276,10,0,0,27.6,0.0,276,10
1990-06,1990,6,71,18,0,0,3.9444444444444446,0.0,71,18
1990-07,1990,7,1151,31,0,0,37.12903225806452,0.0,1151,31
1990-08,1990,8,1500,17,0,0,88.23529411764706,0.0,1500,17
1990-09,1990,9,149,11,0,0,13.545454545454545,0.0,149,11
1990-10,1990,10,6,4,0,0,1.5,0.0,6,4
1990-11,1990,11,0,0,0,0,0.0,0.0,0,0
1990-12,1990,12,2,1,0,0,2.0,0.0,2,1
1991-01,1991,1,251,7,0,0,35.857142857142854,0.0,251,7
1991-02,1991,2,2,1,0,0,2.0,0.0,2,1
1991-03,1991,3,0,0,181,12,0.0,15.083333333333334,181,12
1991-04,1991,4,0,0,235,34,0.0,6.911764705882353,235,34
1991-05,1991,5,1,1,98,27,1.0,3.6296296296296298,99,28
1991-06,1991,6,8,2,91,13,4.0,7.0,99,15
1991-07,1991,7,7,2,248,16,3.5,15.5,255,18
1991-08,1991,8,0,0,103,6,0.0,17.166666666666668,103,6
1991-09,1991,9,2,1,30,5,2.0,6.0,32,6
1991-10,1991,10,307,5,45,2,61.4,22.5,352,7
1991-11,1991,11,0,0,16,3,0.0,5.333333333333333,16,3
1991-12,1991,12,0,0,178,10,0.0,17.8,178,10
1992-01,1992,1,7,3,22,7,2.3333333333333335,3.142857142857143,29,10
1992-02,1992,2,12,4,36,6,3.0,6.0,48,10
1992-03,1992,3,7,2,43,4,3.5,10.75,50,6
1992-04,1992,4,0,0,9,4,0.0,2.25,9,4
1992-05,1992,5,0,0,278,17,0.0,16.352941176470587,278,17
1992-06,1992,6,3,2,1,1,1.5,1.0,4,3
1992-07,1992,7,0,1,60,6,0.0,10.0,60,7
1992-08,1992,8,31,4,20,1,7.75,20.0,51,5
1992-09,1992,9,370,1,0,1,370.0,0.0,370,2
1992-10,1992,10,20,7,19,7,2.857142857142857,2.7142857142857144,39,14
1992-11,1992,11,1,1,7,3,1.0,2.3333333333333335,8,4
1992-12,1992,12,2,1,36,7,2.0,5.142857142857143,38,8
1993-01,1993,1,1704,29,206,8,58.758620689655174,25.75,1910,37
1993-02,1993,2,13,1,50,4,13.0,12.5,63,5
1993-03,1993,3,14,1,78,3,14.0,26.0,92,4
1993-04,1993,4,8,2,12,3,4.0,4.0,20,5
1993-05,1993,5,212,2,0,1,106.0,0.0,212,3
1993-06,1993,6,600,1,21,3,600.0,7.0,621,4
1993-07,1993,7,2,1,9,3,2.0,3.0,11,4
1993-08,1993,8,3,3,48,5,1.0,9.6,51,8
1993-09,1993,9,107,5,63,10,21.4,6.3,170,15
1993-10,1993,10,1,1,8,1,1.0,8.0,9,2
1993-11,1993,11,0,0,75,11,0.0,6.818181818181818,75,11
1993-12,1993,12,9,1,72,16,9.0,4.5,81,17
1994-01,1994,1,2807,39,179,22,71.97435897435898,8.136363636363637,2986,61
1994-02,1994,2,10,5,174,15,2.0,11.6,184,20
1994-03,1994,3,282,3,232,26,94.0,8.923076923076923,514,29
1994-04,1994,4,59,2,114,14,29.5,8.142857142857142,173,16
1994-05,1994,5,40,6,357,19,6.666666666666667,18.789473684210527,397,25
1994-06,1994,6,32,6,149,9,5.333333333333333,16.555555555555557,181,15
1994-07,1994,7,1,2,212,5,0.5,42.4,213,7
1994-08,1994,8,42,5,249,18,8.4,13.833333333333334,291,23
1994-09,1994,9,495,14,37,5,35.357142857142854,7.4,532,19
1994-10,1994,10,115,5,112,9,23.0,12.444444444444445,227,14
1994-11,1994,11,236,4,216,7,59.0,30.857142857142858,452,11
1994-12,1994,12,48,1,66,15,48.0,4.4,114,16
1995-01,1995,1,1250,18,324,35,69.44444444444444,9.257142857142858,1574,53
1995-02,1995,2,137,3,405,24,45.666666666666664,16.875,542,27
1995-03,1995,3,422,12,338,22,35.166666666666664,15.363636363636363,760,34
1995-04,1995,4,316,8,272,11,39.5,24.727272727272727,588,19
1995-05,1995,5,113,6,105,13,18.833333333333332,8.076923076923077,218,19
1995-06,1995,6,3,1,330,23,3.0,14.347826086956522,333,24
1995-07,1995,7,0,0,280,15,0.0,18.666666666666668,280,15
1995-08,1995,8,29,3,183,9,9.666666666666666,20.333333333333332,212,12
1995-09,1995,9,20,1,170,11,20.0,15.454545454545455,190,12
1995-10,1995,10,0,0,297,11,0.0,27.0,297,11
1995-11,1995,11,0,0,62,6,0.0,10.333333333333334,62,6
1995-12,1995,12,0,0,428,17,0.0,25.176470588235293,428,17
1996-01,1996,1,9,3,355,10,3.0,35.5,364,13
1996-02,1996,2,0,0,79,22,0.0,3.590909090909091,79,22
1996-03,1996,3,1,2,122,10,0.5,12.2,123,12
1996-04,1996,4,1952,12,9,5,162.66666666666666,1.8,1961,17
1996-05,1996,5,55,7,96,8,7.857142857142857,12.0,151,15
1996-06,1996,6,2,1,30,15,2.0,2.0,32,16
1996-07,1996,7,3,1,0,0,3.0,0.0,3,1
1996-08,1996,8,3,1,10,5,3.0,2.0,13,6
1996-09,1996,9,46,2,19,5,23.0,3.8,65,7
1996-10,1996,10,0,0,86,10,0.0,8.6,86,10
1996-11,1996,11,0,0,122,6,0.0,20.333333333333332,122,6
1996-12,1996,12,1006,2,15,4,503.0,3.75,1021,6
1997-01,1997,1,9,1,25,4,9.0,6.25,34,5
1997-02,1997,2,0,0,5,3,0.0,1.6666666666666667,5,3
1997-03,1997,3,0,0,110,10,0.0,11.0,110,10
1997-04,1997,4,0,0,3,1,0.0,3.0,3,1
1997-05,1997,5,0,0,132,16,0.0,8.25,132,16
1997-06,1997,6,0,0,156,22,0.0,7.090909090909091,156,22
1997-07,1997,7,0,0,214,13,0.0,16.46153846153846,214,13
1997-08,1997,8,0,0,69,15,0.0,4.6,69,15
1997-09,1997,9,0,0,88,18,0.0,4.888888888888889,88,18
1997-10,1997,10,0,0,115,13,0.0,8.846153846153847,115,13
1997-11,1997,11,3,1,95,8,3.0,11.875,98,9
1997-12,1997,12,1,1,221,14,1.0,15.785714285714286,222,15
